compliance-level-2/0001-input-data-string,0001-input-data-string-test-01,001,SUCCESS
compliance-level-2/0002-input-data-number,0002-input-data-number-test-01,001,SUCCESS
compliance-level-2/0003-input-data-string-allowed-values,0003-input-data-string-allowed-values-test-01,001,SUCCESS
compliance-level-2/0004-simpletable-U,0004-simpletable-U-test-01,003,SUCCESS
compliance-level-2/0004-simpletable-U,0004-simpletable-U-test-01,002,SUCCESS
compliance-level-2/0004-simpletable-U,0004-simpletable-U-test-01,001,SUCCESS
compliance-level-2/0005-simpletable-A,0005-simpletable-A-test-01,001,SUCCESS
compliance-level-2/0005-simpletable-A,0005-simpletable-A-test-01,003,SUCCESS
compliance-level-2/0005-simpletable-A,0005-simpletable-A-test-01,002,SUCCESS
compliance-level-2/0006-simpletable-P1,0006-simpletable-P1-test-01,003,SUCCESS
compliance-level-2/0006-simpletable-P1,0006-simpletable-P1-test-01,001,SUCCESS
compliance-level-2/0006-simpletable-P1,0006-simpletable-P1-test-01,002,SUCCESS
compliance-level-2/0007-simpletable-P2,0007-simpletable-P2-test-01,001,SUCCESS
compliance-level-2/0007-simpletable-P2,0007-simpletable-P2-test-01,003,SUCCESS
compliance-level-2/0007-simpletable-P2,0007-simpletable-P2-test-01,002,SUCCESS
compliance-level-2/0008-LX-arithmetic,0008-LX-arithmetic-test-01,001,SUCCESS
compliance-level-2/0008-LX-arithmetic,0008-LX-arithmetic-test-01,003,SUCCESS
compliance-level-2/0008-LX-arithmetic,0008-LX-arithmetic-test-01,002,SUCCESS
compliance-level-2/0010-multi-output-U,0010-multi-output-U-test-01,003,SUCCESS
compliance-level-2/0010-multi-output-U,0010-multi-output-U-test-01,001,SUCCESS
compliance-level-2/0010-multi-output-U,0010-multi-output-U-test-01,002,SUCCESS
compliance-level-3/0020-vacation-days,0020-vacation-days-test-01,001,SUCCESS
compliance-level-3/0020-vacation-days,0020-vacation-days-test-01,006,SUCCESS
compliance-level-3/0020-vacation-days,0020-vacation-days-test-01,007,SUCCESS
compliance-level-3/0020-vacation-days,0020-vacation-days-test-01,003,SUCCESS
compliance-level-3/0020-vacation-days,0020-vacation-days-test-01,004,SUCCESS
compliance-level-3/0020-vacation-days,0020-vacation-days-test-01,002,SUCCESS
compliance-level-3/0020-vacation-days,0020-vacation-days-test-01,005,SUCCESS
